업종,업소명,주소,연락처
한식,청재,강원도 춘천시 서면 박사로 927,033-255-2867
한식,두리감자탕,강원도 춘천시 후평동 748-4,033-244-2847
한식,약사촌 닭갈비,강원도 춘천시 공지로384-9,033-256-9255
한식,산마루,강원도 춘천시 백령로 171-1(1층),033-241-0769
한식,청재,강원도 춘천시 서면 박사로 927,033-255-2867
한식,58전집,강원도 춘천시 명동길29번길 8-8,033-242-8845
한식,춘천뒷고기,강원도 춘천시 우묵길 52(신사우동),033-251-0430
한식,왕가한식부페,강원도 춘천시 석사길15(석사동),033-261-0559
한식,광치해장국,강원도 춘천시 소양로 108(소양동),033-253-1110
한식,해미담,강원도 춘천시 효자로24번길 12(퇴계동),033-241-7376
한식,낭만국시,강원도 춘천시 명동길29번길 3(죽림동),033-252-6255
한식,촌닭곰탕,강원도 춘천시 동내면 영서로 1776,033-261-9631
한식,진미식당,강원도 춘천시 후석로379번길 56(후평동),033-253-5879
한식,삐삐스넥1호,강원도 춘천시 명동길 2(중앙로2가),033-254-4905
한식,봉실스넥,강원도 춘천시 서부대성로239번길 8(효자동),033-251-6890
한식,명문손칼국수,강원도 춘천시 행촌로32번길 5-26(퇴계동),033-242-1559
한식,국수나라,강원도 춘천시 삭주로 130(후평동),033-243-5671
한식,뚝배기마을,강원도 춘천시 옥천길 3,033-251-3938
한식,곰스낵,강원도 춘천시 서부대성로 86-1,033-254-2643
한식,곱돌생삼겹살,강원도 춘천시 백령로 138번길 50,033-255-4241
한식,행복한두부,강원도 춘천시 둥지길 4,033-255-7710
일식,춘천민물횟집,강원도 춘천시 효자로42,033-252-3383
중식,만리향,강원도 춘천시 명동길29번지 4-5,033-251-2227
중식,장꾸웨이,강원도 춘천시 춘주로 187번길20-13 (퇴계동),033-257-0333
기타 양식,토스트잇,강원도 춘천시 동면 춘천로449번길 20-1,033-242-9592
이·미용업,펑펑펑미용실,강원도 춘천시 낙원길 20(소양동),033-251-2252
이·미용업,진미용실,강원도 춘천시 춘주로92번길 11(온의동),033-256-8485
이·미용업,쌍다리이용소,강원도 춘천시 춘천순환로 42(석사동),033-262-5087
이·미용업,개성시대,강원도 춘천시 공지로 392-6(약사동),033-256-9304
이·미용업,가고파미용실,강원도 춘천시 안마산로 214(퇴계동) 금호상가 내,033-262-9488
이·미용업,현주헤어숍,강원도 춘천시 효석로 89번길 19,033-262-5535
목욕업,바위목욕탕,강원도 춘천시 춘천로213번길 9(효자동),033-253-3610
숙박업,서울파크,강원도 춘천시 신북읍 상천3길11,033-244-5400
숙박업,계림산장,강원도 춘천시 스포츠타운길 340 (강남동),033-254-7392
한식,바우집(중앙점),강원도 원주시 평원로 68 (중앙동),033-745-3997
한식,청송통닭,강원도 원주시 단구로 239 (단구동),033-761-5834
한식,남이섬닭갈비,강원도 원주시 라옹정길 65 (관설동),033-765-8884
한식,땡벌해장국,강원도 원주시 나비허리길50 (단구동),033-761-5199
한식,맛대로부페,강원도 원주시 도말리길41(개운동),033-904-8253
한식,센타식당들꽃,강원도 원주시 원일로 28(인동),033-764-8113
한식,치악산한우타운,강원도 원주시 무실밤골길 29-3(무실동),033-766-8686
한식,한식뷔페식도락,강원도 원주시 봉바위길 5-1(무실동),033-745-8500
한식,전주식백반,강원도 원주시 감영길 53-4(중앙동),033-746-2409
한식,민생회관,강원도 원주시 중앙로 46,033-742-2837
한식,삼천원국밥,강원도 원주시 단구로 378(단구동),033-761-4166
한식,원주식당,강원도 원주시 섬밭들1길 6-2(무실동),033-748-4999
한식,설악숯불갈비,강원도 원주시 금불4길 25-3,033-748-2510
한식,바우집,강원도 원주시 단관길 110-9,033-763-7891
한식,형제칼국수,강원도 원주시 우산로 104,033-746-8910
중식,차이나먹거리,강원도 원주시 소방서길 44(명륜동),033-766-4641
중식,찰로원,강원도 원주시 남원로 637-16(명륜동),033-764-7557
중식,산동원,강원도 원주시 중앙로 171(학성동),033-742-5188
이·미용업,가위와 바리깡,강원도 원주시 한지공원길 28(명륜동),033-766-4381
이·미용업,청솔헤어테크,강원도 원주시 나비허리길 190,033-748-2878
한식,읍내골식당,강원도 강릉시 왕제골길 28-4,033-661-4631
한식,보글이식당,강원도 강릉시 경강로2246번길 3,033-642-2979
한식,아미고스,강원도 강릉시 지변길28,033-642-7688
