번호,장소,지역,주소,구분,위도,경도,전화번호
1,강릉안반데기관광농원,강릉,강원 강릉시  왕산면 안반데기1길 203,관광지,37.608741,128.7400255,033-644-8552
2,강릉커피거리,강릉,강원 강릉시 창해로14번길 20-1,관광지,37.7726047,128.9473387,033-640-4531
3,강릉항,강릉,강원 강릉시 창해로14번길 55-11,관광지,37.77138691,128.9517288,
4,강문솟대다리,강릉,강원 강릉시 강문동 248-4,관광지,37.79777324,128.9167459,033-660-3864
5,강문해변,강릉,강원 강릉시 강문동 159-43,관광지,37.7947547,128.9188938,033-640-4920
6,경포해변,강릉,강원 강릉시 강문동 산1,관광지,37.80239228,128.911058,033-640-4531
7,드라마 도깨비 촬영지,강릉,강원 강릉시 주문진읍 해안로 1609,관광지,37.87955349,128.8335571,
8,따스네(ddasne),강릉,강원 강릉시 창해로 14번길 64,관광지,37.77039067,128.9514353,
9,모래시계공원,강릉,강원 강릉시 헌화로 990-1,관광지,37.68694189,129.0375958,033-640-4536
10,사근진해변,강릉,강원 강릉시 해안로604번길 16,관광지,37.81272232,128.8988738,033-640-4925
11,사근진해중공원 전망대,강릉,강원 강릉시 해안로604번길 16,관광지,37.81272232,128.8988738,033-640-4531
12,사천진항,강릉,강원 강릉시 사천면 진리해변길 68-23,관광지,37.83680428,128.8781344,033-640-4414
13,사천해변,강릉,강원 강릉시 사천면 방동리 산282-6,관광지,37.82998357,128.8779563,033-640-4144
14,소돌해변,강릉,강원 강릉시 주문진읍 주문리 800-3,관광지,37.90680516,128.8266664,033-661-5692
15,송정해변,강릉,강원 강릉시 송정길30번안길 20-3,관광지,37.77685135,128.9381278,033-640-4922
16,순긋해변,강릉,강원 강릉시 안현동 224,관광지,37.81535728,128.8945213,033-640-4414
17,순포해변,강릉,강원 강릉시 사천면 산대월리 산 1,관광지,37.82284256,128.8859931,033-640-4757
18,아들바위공원,강릉,강원 강릉시 주문진읍 주문리 791-47,관광지,37.90588059,128.8301068,033-640-4535
19,안목해변,강릉,강원 강릉시 창해로14번길 20-1,관광지,37.7726047,128.9473387,033-660-3887
20,안인항,강릉,강원 강릉시 강동면 안인진길 47,관광지,37.73608823,128.9885912,033-660-3598
21,영진항,강릉,강원 강릉시 연곡면 영진리 2-3,관광지,37.86785264,128.848319,033-662-5254
22,영진해변,강릉,강원 강릉시 연곡면 영진리 72-2,관광지,37.86895106,128.8450214,033-640-5422
23,월화거리,강릉,강원 강릉시 경강로 2111,관광지,37.75589591,128.8974541,033-640-5643
24,정동진,강릉,강원 강릉시 강동면 정동역길 17,관광지,37.6913387,129.0328303,033-640-4537
25,주문진항,강릉,강원 강릉시 주문진읍 해안로 1758-22,관광지,37.89220474,128.8302267,033-662-3639
26,주문진해변,강릉,강원 강릉시 주문진읍 주문북로 210,관광지,37.91013153,128.8176761,033-640-4535
27,하평해변,강릉,강원 강릉시 사천면 진리해변길 155,관광지,37.84414441,128.8719606,033-660-3657
28,24시보듬동물병원,강릉,강원 강릉시 경강로 2070,동물병원,37.75320476,128.8940373,033-655-7975
29,강릉동물병원,강릉,강원 강릉시 옥가로 18,동물병원,37.75786009,128.8994287,
30,나은동물병원,강릉,강원 강릉시 교동광장로100번길 8-12 나은동물병원,동물병원,37.76516836,128.877234,033-642-7587
31,도그빌동물병원,강릉,강원 강릉시 명륜로 23-1 도그빌동물병원,동물병원,37.7621384,128.8959425,033-645-2289
32,베스트동물병원,강릉,강원 강릉시 경강로 2129,동물병원,37.75695756,128.8991645,033-922-7582
33,아이즈동물병원,강릉,강원 강릉시 옥가로 22,동물병원,37.7582074,128.899471,033-646-8841
34,애견종합동물병원,강릉,강원 강릉시 경강로 2130,동물병원,37.75655035,128.899418,033-647-8575
35,위드동물병원,강릉,강원 강릉시 선수촌로63번길 18-7 1층,동물병원,37.75704766,128.8683395,033-645-5575
36,주주동물병원,강릉,강원 강릉시 성덕포남로 105,동물병원,37.76299141,128.9146523,033-652-0075
37,중앙동물병원,강릉,강원 강릉시 주문진읍 연주로 308-1,동물병원,37.87993591,128.8267844,
38,하슬라동물병원,강릉,강원 강릉시 하슬라로 131,동물병원,37.76179247,128.8733166,033-645-7585
39,행복한종합동물병원,강릉,강원 강릉시 경강로 2142,동물병원,37.75729132,128.9002933,033-648-7533
40,SL호텔 강릉,강릉,강원 강릉시 주문진읍 주문로 59,숙박,37.88921425,128.8254362,033-920-1800
41,강릉 로뎀나무 펜션,강릉,강원 강릉시 해안로621번길 12 (안현동),숙박,37.81182006,128.898001,
42,경포도도애견펜션,강릉,강원 강릉시 하남길 197-15,숙박,37.80811754,128.8856929,
43,경포코지펜션,강릉,강원 강릉시 난설헌로219번길 22,숙박,37.7943162,128.9134831,
44,곰앤패들보드 캠핑장,강릉,강원 강릉시 해안로 656-1,숙박,37.81494301,128.8953316,
45,까사초당,강릉,강원 강릉시 초당원길 69-1,숙박,37.78718309,128.9135012,
46,나인원펜션,강릉,강원 강릉시 안현로 114-12,숙박,37.80251456,128.8705461,
47,더 다온,강릉,강원 강릉시 율곡로 2886,숙박,37.76089132,128.8946351,
48,디어먼데이 강릉 세인트존스호텔점,강릉,"강원 강릉시 창해로 307, 세인트존스호텔 16층",숙박,37.79128002,128.9209319,
49,바다와펜션,강릉,강원 강릉시 사천면 해안로 1081,숙박,37.84538047,128.8693111,
50,블루앤펫,강릉,강원 강릉시 창해로350번길 25 블루앤펫,숙박,37.79631596,128.9171615,
51,세인트존스호텔,강릉,강원 강릉시 창해로 307,숙박,37.79128075,128.9209314,033-660-9000
52,송림315,강릉,강원 강릉시 연곡면 진고개로 2538,숙박,37.85475844,128.8169774,
53,오늘은바다 애견펜션,강릉,강원 강릉시 사천면 해안로 904-11,숙박,37.83192392,128.875829,
54,카리스펜션,강릉,강원 강릉시 연곡면 해안로 1279,숙박,37.85730937,128.8528343,
55,코스테펜션,강릉,강원 강릉시 사천면 해안로 725-2,숙박,37.81954098,128.8895007,
56,파인힐 애견펜션,강릉,강원 강릉시 연곡면 동해대로 4371-27,숙박,37.86920213,128.831634,
57,펜션지아니,강릉,강원 강릉시 강동면 정동3길 32-11,숙박,37.6859321,129.0343021,
58,프렌즈애견펜션,강릉,강원 강릉시 하남길 117-4,숙박,37.81174697,128.8805411,
59,해피몽펜션,강릉,강원 강릉시 성산면 삼왕길 171-13,숙박,37.7563505,128.7942527,
60,1938슬로우,강릉,강원 강릉시 임영로141번길 4-6 1938slow,식음료,37.75394887,128.8910699,033-646-4649
61,갈매기다방,강릉,강원 강릉시 연곡면 영진길 63 1층,식음료,37.8702987,128.8429918,
62,고심쌀롱,강릉,강원 강릉시 사천면 진리해변길 131 2층,식음료,37.8424615,128.8737648,
63,고씨네동해막국수 강릉본점,강릉,강원 강릉시 창해로350번길 25 1층,식음료,37.7963158,128.9171596,
64,댕댕클럽,강릉,강원 강릉시 사임당로 141 4층,식음료,37.75729621,128.8654626,
65,덴켄,강릉,강원 강릉시 창해로350번길 5,식음료,37.79493758,128.9184678,-
66,르꼬따쥬,강릉,강원 강릉시 한밭골길 50-11,식음료,37.78752821,128.8642767,
67,마마타타,강릉,강원 강릉시 경포로 33-25 2층,식음료,37.77371474,128.8787493,
68,만선포차,강릉,강원 강릉시 하슬라로206번길 12-7,식음료,37.76722151,128.8769942,
69,바다텃밭Lab,강릉,강원 강릉시 경강로 2015 2층,식음료,37.74958813,128.8903084,
70,브라질,강릉,강원 강릉시 연곡면 해안로 1439,식음료,37.86826637,128.8463119,033-662-1259
71,세레니타,강릉,강원 강릉시 율곡로 3034,식음료,37.7731495,128.8902565,
72,스웨이,강릉,강원 강릉시 경포로 489-6 2층,식음료,37.80401734,128.9047552,
